,Number,Name,Latitude,Longitude,District,Public,Total docks,danger_score,danger_score2
91,M32012,Central Sq Post Office / Cambridge City Hall at Mass Ave / Pleasant St,42.366426,-71.105495,Cambridge,Yes,17,0.0,34.0
92,M32011,Central Square at Mass Ave / Essex St,42.36507,-71.1031,Cambridge,Yes,19,0.0,38.0
93,A32041,Central Square East Boston,42.37544913,-71.03918549,Boston,Yes,15,35.0,75.0
94,N32018,Centre St at Commonwealth Ave,42.3362358,-71.1934421,Newton,Yes,11,0.0,0.0
95,C32086,Centre St at Parkway YMCA,42.28277901,-71.15728851,Boston,Yes,17,12.0,31.0
96,C32085,Centre St at W. Roxbury Post Office,42.28633199,-71.15344755,Boston,Yes,19,13.0,35.0
97,N32000,Centre St at Washington St,42.35574335,-71.18641943,Newton,Yes,11,0.0,4.0
98,D32016,Charles Circle - Charles St at Cambridge St,42.36079297,-71.07118962,Boston,Yes,19,91.0,433.0
99,D32039,Charlestown Navy Yard,42.37412455,-71.054812,Boston,Yes,23,32.0,171.0
100,H32003,Chelsea Square,42.39022671,-71.03857018,Chelsea,Yes,11,4.0,29.0
101,V32016,Chelsea St at Vine St,42.40336946,-71.04731441,Everett,Yes,11,0.0,0.0
102,H32005,Chelsea Station,42.39636528,-71.03987179,Chelsea,Yes,11,0.0,8.0
103,M32049,Child Street at Brian P. Murphy Staircase,42.37197678,-71.07200496,Cambridge,Yes,23,27.0,199.0
104,D32015,Chinatown Gate Plaza,42.351356,-71.059367,Boston,Yes,19,144.0,513.0
105,D32019,Chinatown T Stop,42.352409,-71.062679,Boston,Yes,19,163.0,539.0
106,B32005,Christian Science Plaza - Massachusetts Ave at Westland Ave,42.34366582,-71.08582377,Boston,Yes,19,245.0,745.0
107,M32087,Church St,42.37433925,-71.11966431,Cambridge,Yes,15,14.0,63.0
108,C32099,Circuit Drive at American Legion Hwy,42.29704126,-71.09171927,Boston,Yes,19,34.0,155.0
109,S32010,Clarendon Hill at Broadway,42.406302,-71.132446,Somerville,Yes,15,0.0,0.0
110,C32104,Cleary Sq,42.2556,-71.12444,Boston,Yes,16,25.0,36.0
